survey_year,area_code,pref_code,pref_name,city_name,ward_name,full_name,level,dwellings_total,occupied_total,occupied_exclusive,occupied_shared,unoccupied_total,temporary_occupants_only,vacant_total,vacant_for_rent,vacant_for_sale,vacant_secondary,vacant_other,under_construction,other_buildings,vacant_rate_pct,vacant_other_rate_pct,vacant_for_rent_rate_pct
2023,00000,00,全国,,,全国,national,65046700,55665000,55327600,337400,9381700,285500,9001600,4435800,326200,383500,3856000,94700,82800,13.84,5.93,6.82
2023,01000,01,北海道,,,北海道,prefecture,2888500,2423200,2404500,18800,465300,10000,451900,258700,19600,10700,163000,3300,5300,15.64,5.64,8.96
2023,01100,01,北海道,札幌市,,北海道 札幌市,city,1128200,967400,960700,6800,160700,3700,155800,111600,10900,1500,31800,1300,1500,13.81,2.82,9.89
2023,01101,01,北海道,,中央区,北海道 中央区,ward,174070,141400,140710,690,32670,520,32100,18070,5230,240,8560,50,170,18.44,4.92,10.38
2023,01102,01,北海道,,北区,北海道 北区,ward,163690,138480,137300,1170,25220,230,24740,19230,700,40,4770,240,210,15.11,2.91,11.75
2023,01103,01,北海道,,東区,北海道 東区,ward,151460,128540,127570,960,22920,820,21830,17110,850,490,3390,270,210,14.41,2.24,11.3
2023,01104,01,北海道,,白石区,北海道 白石区,ward,128110,108890,107900,990,19220,860,18240,15390,990,10,1850,120,150,14.24,1.44,12.01
2023,01105,01,北海道,,豊平区,北海道 豊平区,ward,140630,120820,120230,590,19810,740,19050,15710,1520,100,1720,30,110,13.55,1.22,11.17
2023,01106,01,北海道,,南区,北海道 南区,ward,71620,61440,60920,520,10170,20,10100,6200,450,220,3230,60,150,14.1,4.51,8.66
2023,01107,01,北海道,,西区,北海道 西区,ward,119190,105400,104780,620,13790,100,13560,8170,240,210,4940,130,180,11.38,4.14,6.85
2023,01108,01,北海道,,厚別区,北海道 厚別区,ward,62740,56040,55780,260,6700,50,6520,4980,250,90,1200,140,70,10.39,1.91,7.94
2023,01109,01,北海道,,手稲区,北海道 手稲区,ward,67500,61230,60730,500,6270,70,6030,4440,410,100,1080,170,140,8.93,1.6,6.58
2023,01110,01,北海道,,清田区,北海道 清田区,ward,49150,45190,44730,450,3960,280,3620,2270,290,20,1040,60,110,7.37,2.12,4.62
2023,01202,01,北海道,函館市,,北海道 函館市,city,146510,117770,116870,900,28740,420,28210,16700,630,710,10170,110,260,19.25,6.94,11.4
2023,01203,01,北海道,小樽市,,北海道 小樽市,city,64160,52880,52630,260,11280,70,11140,5360,330,390,5060,70,70,17.36,7.89,8.35
2023,01204,01,北海道,旭川市,,北海道 旭川市,city,181430,154520,153320,1200,26920,940,25670,17130,810,260,7470,310,540,14.15,4.12,9.44
2023,01205,01,北海道,室蘭市,,北海道 室蘭市,city,48690,38650,38350,300,10040,190,9790,5200,410,100,4080,60,40,20.11,8.38,10.68
2023,01206,01,北海道,釧路市,,北海道 釧路市,city,95150,76540,75870,670,18620,340,18160,11160,610,130,6260,110,260,19.09,6.58,11.73
2023,01207,01,北海道,帯広市,,北海道 帯広市,city,92200,80750,80110,640,11450,510,10810,7170,280,70,3290,130,160,11.72,3.57,7.78
2023,01208,01,北海道,北見市,,北海道 北見市,city,62980,53900,53600,300,9080,190,8890,5700,150,100,2950,,70,14.12,4.68,9.05
2023,01209,01,北海道,夕張市,,北海道 夕張市,city,5540,3270,3240,30,2270,90,2180,1220,10,0,950,,10,39.35,17.15,22.02
2023,01210,01,北海道,岩見沢市,,北海道 岩見沢市,city,39770,33680,33410,270,6090,10,6040,3630,180,70,2170,30,60,15.19,5.46,9.13
2023,01211,01,北海道,網走市,,北海道 網走市,city,19140,15840,15800,40,3300,30,3260,1920,80,10,1250,10,10,17.03,6.53,10.03
2023,01212,01,北海道,留萌市,,北海道 留萌市,city,11580,9320,9210,110,2260,,2230,1490,20,,720,30,10,19.26,6.22,12.87
2023,01213,01,北海道,苫小牧市,,北海道 苫小牧市,city,91300,75520,74450,1070,15780,250,15300,8390,390,140,6380,230,160,16.76,6.99,9.19
2023,01214,01,北海道,稚内市,,北海道 稚内市,city,17760,15050,14880,170,2720,30,2670,1370,110,50,1140,20,60,15.03,6.42,7.71
2023,01215,01,北海道,美唄市,,北海道 美唄市,city,10970,8600,8520,70,2370,20,2350,880,30,90,1350,,60,21.42,12.31,8.02
2023,01216,01,北海道,芦別市,,北海道 芦別市,city,7970,5720,5690,30,2250,10,2240,1250,40,,950,,0,28.11,11.92,15.68
2023,01217,01,北海道,江別市,,北海道 江別市,city,57540,51170,50560,610,6370,10,6270,4370,310,30,1560,90,70,10.9,2.71,7.59
2023,01218,01,北海道,赤平市,,北海道 赤平市,city,6250,4340,4330,10,1910,,1910,1160,40,30,680,,60,30.56,10.88,18.56
2023,01219,01,北海道,紋別市,,北海道 紋別市,city,12630,10860,10820,50,1770,30,1730,550,10,,1170,0,40,13.7,9.26,4.35
2023,01220,01,北海道,士別市,,北海道 士別市,city,9400,7790,7730,70,1600,10,1600,650,100,10,830,,30,17.02,8.83,6.91
2023,01221,01,北海道,名寄市,,北海道 名寄市,city,14330,11940,11920,30,2390,20,2360,1180,10,20,1150,10,20,16.47,8.03,8.23
2023,01222,01,北海道,三笠市,,北海道 三笠市,city,5930,3590,3560,30,2340,10,2330,1210,30,0,1090,,10,39.29,18.38,20.4
2023,01223,01,北海道,根室市,,北海道 根室市,city,12070,10060,9930,130,2010,10,1990,860,30,50,1050,10,30,16.49,8.7,7.13
2023,01224,01,北海道,千歳市,,北海道 千歳市,city,51060,43870,43570,300,7190,250,6830,5040,100,140,1550,110,120,13.38,3.04,9.87
2023,01225,01,北海道,滝川市,,北海道 滝川市,city,22100,18160,17960,200,3940,160,3790,1950,150,10,1680,,10,17.15,7.6,8.82
2023,01226,01,北海道,砂川市,,北海道 砂川市,city,9280,7580,7530,40,1700,20,1670,840,50,20,760,10,10,18.0,8.19,9.05
2023,01227,01,北海道,歌志内市,,北海道 歌志内市,city,2010,1260,1250,10,740,,740,190,10,,540,,0,36.82,26.87,9.45
