area_code,pref_code,area_name,area_name_en,level,vacant_total_1958,vacant_for_rent_1958,vacant_for_sale_1958,vacant_secondary_1958,vacant_other_1958,vacant_total_1963,vacant_for_rent_1963,vacant_for_sale_1963,vacant_secondary_1963,vacant_other_1963,vacant_total_1968,vacant_for_rent_1968,vacant_for_sale_1968,vacant_secondary_1968,vacant_other_1968,vacant_total_1973,vacant_for_rent_1973,vacant_for_sale_1973,vacant_secondary_1973,vacant_other_1973,vacant_total_1978,vacant_for_rent_1978,vacant_for_sale_1978,vacant_secondary_1978,vacant_other_1978,vacant_total_1983,vacant_for_rent_1983,vacant_for_sale_1983,vacant_secondary_1983,vacant_other_1983,vacant_total_1988,vacant_for_rent_1988,vacant_for_sale_1988,vacant_secondary_1988,vacant_other_1988,vacant_total_1993,vacant_for_rent_1993,vacant_for_sale_1993,vacant_secondary_1993,vacant_other_1993,vacant_total_1998,vacant_for_rent_1998,vacant_for_sale_1998,vacant_secondary_1998,vacant_other_1998,vacant_total_2003,vacant_for_rent_2003,vacant_for_sale_2003,vacant_secondary_2003,vacant_other_2003,vacant_total_2008,vacant_for_rent_2008,vacant_for_sale_2008,vacant_secondary_2008,vacant_other_2008,vacant_total_2013,vacant_for_rent_2013,vacant_for_sale_2013,vacant_secondary_2013,vacant_other_2013,vacant_total_2018,vacant_for_rent_2018,vacant_for_sale_2018,vacant_secondary_2018,vacant_other_2018,vacant_total_2023,vacant_for_rent_2023,vacant_for_sale_2023,vacant_secondary_2023,vacant_other_2023
00000,00,全国,Japan,national,,,,,,,,,,,,,,,,1720300,,,,,2679200,,,137200,,3301800,1834000,,216200,1251500,3940400,2335800,,295000,1309500,4475800,2618900,,369100,1487800,5764100,3520000,,419300,1824900,6593300,3674900,302600,498200,2117600,7567900,4126800,348800,411200,2681100,8195600,4291800,308200,412000,3183600,8488600,4327200,293200,381000,3487200,9001600,4435800,326200,383500,3856000
01000,01,北海道,Hokkaido,prefecture,21000,,,,,41800,,,,,59650,,,,,92300,,,,,118100,,,2100,,166500,102400,,3600,60500,220300,157600,,6700,56100,230400,152800,,9000,68700,273400,182000,,10900,80500,303800,180000,11300,11300,101200,374400,239600,15100,10600,109100,388200,224300,12400,12100,139500,379800,204600,9000,8900,157300,451900,258700,19600,10700,163000
02000,02,青森県,Aomori-ken,prefecture,2000,,,,,2800,,,,,8400,,,,,12900,,,,,21200,,,400,,31000,17000,,1200,12800,44200,24500,,2000,17600,51000,28100,,1300,21600,58500,29400,,2100,26900,70100,39500,2100,3500,25000,84700,47700,1400,2000,33600,81200,40900,1700,2000,36600,88700,39200,1400,2200,45800,98800,39900,2200,1700,55000
03000,03,岩手県,Iwate-ken,prefecture,3200,,,,,4600,,,,,10260,,,,,13900,,,,,19400,,,700,,29200,14700,,1300,13200,38000,21600,,2200,14300,40200,23700,,1100,15400,51100,24500,,2500,24100,60800,30700,1300,3100,25700,77300,38300,2000,3700,33400,76300,30200,1000,4100,41000,93500,38600,1100,3500,50200,100400,41100,2000,3200,54100
04000,04,宮城県,Miyagi-ken,prefecture,3400,,,,,4300,,,,,10800,,,,,18100,,,,,33100,,,500,,42800,24900,,2800,15100,55800,40000,,1800,14000,72600,44200,,5900,22600,98600,71700,,5100,21700,106300,71500,5800,3000,26100,138400,89100,4900,4900,39500,96900,48800,1900,3200,43000,130500,72700,3600,3700,50400,140300,80200,6500,1600,52000
05000,05,秋田県,Akita-ken,prefecture,2400,,,,,3500,,,,,7220,,,,,11000,,,,,16100,,,400,,21500,9700,,600,11300,27800,13600,,1900,12300,29300,12300,,1200,15800,37200,17500,,1700,18000,44200,19000,1400,2500,21300,55300,25200,1600,1800,26700,56600,20500,1300,1300,33500,60800,19600,1000,1200,38900,69500,23600,1000,1000,43900
06000,06,山形県,Yamagata-ken,prefecture,2100,,,,,3500,,,,,5000,,,,,9700,,,,,14100,,,400,,18700,9000,,1200,8500,18300,9400,,1000,7900,20700,9600,,1300,9800,27800,15000,,1300,11400,40000,20400,1900,1900,15800,47500,24700,1000,1600,20200,46100,20400,1100,2300,22200,54200,21500,1400,1700,29600,61700,22200,1900,1600,35900
07000,07,福島県,Fukushima-ken,prefecture,4800,,,,,7400,,,,,13280,,,,,18600,,,,,28400,,,700,,36800,21400,,1700,13700,51400,32300,,2500,16700,53500,31100,,2700,19700,72000,40800,,3900,27300,96200,53600,2700,7500,32300,105000,60100,2200,4500,38200,91800,35900,3900,5400,46500,123500,56500,2600,5500,58900,131000,60800,3900,3700,62600
08000,08,茨城県,Ibaraki-ken,prefecture,5100,,,,,6700,,,,,14320,,,,,23400,,,,,42900,,,1300,,52800,30700,,4500,17700,74000,42100,,5100,26700,92600,59700,,6200,26700,129400,78400,,11300,39700,146700,85700,4700,13500,42700,178400,107200,6900,8400,55900,184700,104100,4900,8500,67200,197200,105400,4500,9000,78200,196200,90700,5400,6800,93200
09000,09,栃木県,Tochigi-ken,prefecture,4700,,,,,5500,,,,,12260,,,,,23100,,,,,36100,,,4500,,41900,23200,,5300,13400,54300,29000,,6900,18400,69700,39600,,10600,19500,88600,49900,,13000,25700,103700,63400,3300,9900,27000,126300,67100,4200,12800,42300,143400,76000,2500,14600,50200,160700,83400,3600,16300,57500,163700,76700,3800,18900,64300
